location,hospital
北京市,北京世熙医疗美容
北京市,北京金凤凰医院医疗美容
北京市,北京长虹医疗美容医院
北京市,北京欧华医疗美容诊所
北京市,北京凤凰妇儿医院
北京市,北京英煌医疗美容
北京市,北京星医汇整形
北京市,北京新星靓医疗美容医院
北京市,北京雅靓医疗美容
北京市,北京金燕子医疗美容
北京市,北京叶美人医疗美容诊所
北京市,北京美耀天下医疗美容诊所
北京市,美诗沁世茂医疗美容
北京市,北京博士园医疗美容
北京市,北京凯润婷医疗美容医院
北京市,北京明德医院
北京市,北京金圣整形医疗美容
北京市,北京斯嘉丽医疗美容
北京市,北京炫美医疗美容诊所
北京市,北京美莱医疗美容
北京市,北京欧亚美医疗美容（三里屯店）
北京市,北京伟力嘉美信医疗美容
北京市,北京京韩医疗美容诊所
北京市,清华大学玉泉医院
北京市,北京悦丽汇三里屯诊所
北京市,北京首玺丽格医疗美容诊所
北京市,北京昕颜医疗美容诊所
北京市,北京华悦府医疗美容
北京市,北京清木医疗美容诊所
北京市,北京悦然医疗美容
北京市,北京焕誉医疗美容门诊部
北京市,北京方舟医院整形美容中心
北京市,北京润美玉之光医疗美容
北京市,北京百达丽医疗美容门诊部
北京市,北京壹加壹医疗美容门诊部
北京市,北京南加医疗美容
北京市,北京龙泽日盛医疗美容诊所
北京市,北京丽星整形
北京市,北京艺星医疗美容医院
北京市,北京艺美医疗美容诊所
北京市,北京市健宫医院
北京市,北京新面孔医疗美容诊所
北京市,北京爱悦丽格医疗美容
北京市,北京黛美医疗美容
北京市,北京利美康岩之畔医疗美容门诊部
北京市,北京中医药大学东方医院
北京市,北京卓颜蕊丽医疗美容（原知音蕊丽）
北京市,北京圣嘉新医疗美容医院
北京市,北京达美如艺医疗美容
北京市,北京莫琳娜医疗整形美容
北京市,北京科彦医疗美容诊所
北京市,北京熙朵医疗美容
北京市,北京蜜邦医疗美容诊所
北京市,北京佳妍医疗美容诊所
北京市,北京玲珑梵宫医疗美容医院
北京市,北京联合丽格第一医疗美容医院
北京市,北京清菡聚美医疗美容诊所
北京市,北京延世医疗美容诊所
北京市,北京美丽有约医疗美容
北京市,北京德美诊联（名医中心）
北京市,北京溪峰聚美仕整形
北京市,卫生部中日友好医院整形外科
北京市,北京当代医疗美容门诊部
北京市,北京常好丽格医疗美容诊所
北京市,北京惠平霖医疗美容诊所
北京市,北京丽雅医疗美容诊所
北京市,薇琳中美韩（国际）连锁整形美容医院
北京市,北京东方瑞丽医疗美容门诊部
北京市,北京爱多邦医疗美容诊所
北京市,中国医学科学院整形外科医院
北京市,北京欧扬医疗美容门诊部
北京市,北京亚馨美莱坞医疗美容
北京市,北京紫洁（俪方）医疗美容诊所
北京市,北京市第六人民医院
北京市,唯颜时代医疗美容诊所
北京市,北京大学第三医院整形美容外科（北医三院）
北京市,北京来美安眼整形修复医学研究院
北京市,北京米扬丽格医疗美容
北京市,北京圣嘉荣医疗美容医院（原基础美医疗美容医院）
北京市,北京东环亦美医疗美容诊所
北京市,北京禾美嘉医疗整形
北京市,北京邦定医疗美容
北京市,北京斯悦涵美医疗美容
北京市,北京艾菲医疗美容
北京市,北京亚楠容悦医疗美容诊所
北京市,北京天使名源医疗美容诊所
北京市,北京济诚仁医疗美容门诊部
北京市,北京云上美医疗美容诊所
北京市,北京高兰德医疗美容诊所
北京市,丽诗丽格医疗美容
北京市,北京雍禾植发
北京市,北京佰嘉利医疗美容
北京市,北京和颜美帕医疗美容
北京市,爱彼医疗美容
北京市,北京京都时尚医疗美容
北京市,美度（北京）医疗美容诊所
北京市,泽尔医疗美容诊所
北京市,北京惠合嘉美医疗美容诊所
北京市,北京艾玛医疗美容
北京市,北京华韩医疗美容医院
北京市,北京彤美医美美容门诊部
北京市,北京博士园医疗美容口腔科
北京市,北京蕾士悦医疗美容
北京市,北京叶子整形美容医院
北京市,北京三仁医疗美容门诊部
北京市,微美医疗美容（金融街店）
北京市,北京芙艾医疗美容门诊部
北京市,北京京民医院
北京市,北京亚韩医疗美容
北京市,北京伊美尔医疗美容医院
北京市,北京苏亚医疗美容医院
北京市,北京瑞泰口腔北苑总院
北京市,柠悦轻医美诊所（北京颜后医疗美容诊所）
北京市,北京中加科洋美容整形
北京市,北京澳玛星光医疗美容诊所
北京市,北京禾力康整形
北京市,北京加减美(国际)整形美容
北京市,北京伊莎雅轩医疗美容医院
北京市,北京华真堂医疗美容
北京市,安黛（北京）医疗美容诊所有限公司
北京市,诚之康口腔（广顺分院）
北京市,北京五洲妇儿医院整形美容科
北京市,北京京美医疗美容诊所
北京市,北京金圣口腔
北京市,北京瑞妍茗医
北京市,北京杨仁宝医疗美容
北京市,北京宫国华
北京市,北京圣贝口腔
北京市,新氧名医汇
北京市,北京王府井口腔医院（第一分部）
北京市,北京丽贝佳口腔诊所
北京市,北京韩啸医疗美容门诊部
北京市,北京美易美连石医疗美容诊所
北京市,伊美康医疗美容门诊部
北京市,北京艾雅口腔门诊部
北京市,北京李沁奕华意医疗整形美容
北京市,北京庆熙整形美容门诊部
北京市,北京花皇医疗美容诊所
北京市,维恩口腔（北京安贞门诊）
北京市,北京京城皮肤美容医院
北京市,北京爱斯克外科门诊部
北京市,璞至医美·北京善尔医院
北京市,安美口腔
北京市,北京丽港医疗美容诊所
北京市,北京麦西美嘉医疗美容
北京市,北京嘉韵医疗美容诊所
北京市,北京宝岛妇产医疗美容中心
北京市,北京京通医院整形美容
北京市,颂仪医疗美容诊所
北京市,北京牙管家口腔诊所有限公司
北京市,北京正美医疗美容诊所
北京市,合众口腔（望京总院）
北京市,嘉和医疗美容
北京市,伊美尔医疗美容医院有限公司
北京市,北京柏丽医疗美容门诊部
北京市,北京卓新华星医疗美容
北京市,北京好年华医美
北京市,北京沃尔刘彦军医疗美容诊所
北京市,北京永成魅力医疗美容医院
北京市,北京美莱口腔
北京市,北京四惠中医医院（医学美容科） 
北京市,北京贵美汇医院
北京市,北京维尔口腔医院
北京市,北京美天医疗美容门诊部有限公司
北京市,北京上上相医疗美容诊所
北京市,北京东方瑞丽尚品医疗美容诊所
北京市,北京雷华医疗美容
北京市,北京丰台刘家窑中医医院
北京市,北京凯丽汇美医疗美容
北京市,北京欧华医疗美容诊所（蓝色港湾店）   
北京市,北京鹏爱悦己医疗美容诊所
北京市,北京为尔医疗美容诊所
北京市,北京伊芙丽格医疗美容诊所
北京市,北京西美医疗美容门诊部
北京市,北京碧莲盛无痕植发
北京市,北京欧华医疗美容诊所（金融街店） 
北京市,北京新美荟医疗美容诊所
北京市,北京火箭军总医院整形外科
北京市,北京悦慕医疗美容门诊部
北京市,佳美口腔（三里屯店）
北京市,北京亚馨美莱坞整形
北京市,北京东方百合医疗美容门诊部
北京市,北京世济医疗美容医院
北京市,京美会医疗美容诊所
北京市,北京斯迈尔齿科（劲松门诊）
北京市,北京丹熙医疗美容
北京市,北京协和医院
北京市,北京美再生医疗美容诊所
北京市,北京丽都医疗美容医院
北京市,国济美容整形中心
北京市,北京一美医疗美容诊所
北京市,尚益嘉容医疗美容诊所
